Experiment,Model Type,Units,Layers,Dropout Rate,Dense Units,Optimizer,Learning Rate,Batch Size,Time Steps,RMSE,Error
12,gru,64,2,0.2,"[64, 32]",adam,0.001,32,48,76.64664166432686,
12,gru,64,2,0.2,"[64, 32]",adam,0.001,32,48,76.64664166432686,
17,gru,64,3,0.3,"[128, 64]",rmsprop,0.001,64,72,77.25333731275131,
17,gru,64,3,0.3,"[128, 64]",rmsprop,0.001,64,72,77.25333731275131,
15,gru,32,2,0.3,[64],adam,0.0001,64,48,78.99355837803607,
15,gru,32,2,0.3,[64],adam,0.0001,64,48,78.99355837803607,
11,gru,32,3,0.5,[32],rmsprop,0.0001,32,24,79.68723348829089,
11,gru,32,3,0.5,[32],rmsprop,0.0001,32,24,79.68723348829089,
9,gru,64,1,0.2,[32],adam,0.001,32,24,79.85711868796255,
9,gru,64,1,0.2,[32],adam,0.001,32,24,79.85711868796255,
14,gru,64,1,0.2,[32],rmsprop,0.001,32,24,80.41507790426938,
14,gru,64,1,0.2,[32],rmsprop,0.001,32,24,80.41507790426938,
10,gru,128,2,0.3,[64],adam,0.0005,64,48,80.44022267761196,
10,gru,128,2,0.3,[64],adam,0.0005,64,48,80.44022267761196,
13,gru,128,3,0.3,"[128, 64]",adam,0.0005,64,24,80.93267273212285,
13,gru,128,3,0.3,"[128, 64]",adam,0.0005,64,24,80.93267273212285,
8,lstm,32,2,0.3,[32],adam,0.001,64,24,82.95471980661061,
8,lstm,32,2,0.3,[32],adam,0.001,64,24,82.95471980661061,
16,gru,128,2,0.2,"[64, 32]",adam,0.0005,32,24,83.27433196437623,
16,gru,128,2,0.2,"[64, 32]",adam,0.0005,32,24,83.27433196437623,
7,lstm,64,1,0.2,[32],adam,0.0005,32,48,84.57967040649638,
7,lstm,64,1,0.2,[32],adam,0.0005,32,48,84.57967040649638,
2,lstm,64,2,0.3,[64],adam,0.0005,32,24,84.83115584585072,
2,lstm,64,2,0.3,[64],adam,0.0005,32,24,84.83115584585072,
4,lstm,32,3,0.5,[32],rmsprop,0.0005,32,24,84.97972577000323,
4,lstm,32,3,0.5,[32],rmsprop,0.0005,32,24,84.97972577000323,
3,lstm,128,2,0.2,"[64, 32]",adam,0.001,64,48,87.30215252450185,
3,lstm,128,2,0.2,"[64, 32]",adam,0.001,64,48,87.30215252450185,
6,lstm,128,3,0.3,"[64, 32]",rmsprop,0.001,32,24,88.06961374077626,
6,lstm,128,3,0.3,"[64, 32]",rmsprop,0.001,32,24,88.06961374077626,
1,lstm,64,1,0.2,[32],adam,0.001,32,24,88.28101072978485,
1,lstm,64,1,0.2,[32],adam,0.001,32,24,88.28101072978485,
5,lstm,64,2,0.2,"[128, 64]",adam,0.0001,64,48,88.44054625624938,
5,lstm,64,2,0.2,"[128, 64]",adam,0.0001,64,48,88.44054625624938,
